"id","strat_name"
1042,"Kincaid"
1043,"Kincaid Spring"
1044,"Kindblade"
1045,"Kinderhook"
1046,"Kings Lake"
1047,"Kingsport"
1048,"Kingston Peak"
1049,"Kinsey Canyon"
1050,"Kinzers"
1051,"Kirker"
1052,"Kirkwood"
1053,"Kishenehn"
1054,"Kittery"
1055,"Klawak"
1056,"Knapp"
1057,"Knobs"
1058,"Knoxville"
1059,"Kodiak"
1060,"Kogruk"
1061,"Kongakut"
1062,"Kootenai"
1063,"Kope"
1064,"Kosciusko"
1065,"Kugururok"
1066,"Kulthieth"
1067,"Kuna"
1068,"Kuparuk"
1069,"Kushtaka"
1070,"Kuskulana Pass"
1071,"La Abra"
1072,"La Caja"
1073,"La Habra"
1074,"La Hood"
1075,"La Tuna"
1076,"Labette"
1077,"Lackawaxen"
1078,"Lacon"
1079,"Ladd"
1080,"Ladore"
1081,"Lagarto"
1082,"Lagro"
1083,"Lake Church"
1084,"Lake Michigan"
1085,"Lake Valley"
1086,"Lake Vermilion"
1087,"Lake Waco"
1088,"Lakota"
1089,"Lamar River"
1090,"Lance"
1092,"Lane"
1093,"Langford"
1094,"Langston"
1095,"Lantz Mills"
1096,"Laporte City"
1098,"Laramie"
1099,"Laredo"
1100,"Larke"
1101,"Las Cruces"
1102,"Latah"
1103,"Laurel"
1104,"Laurentian"
1105,"Lawrence"
1106,"Lawson"
1107,"Lay Dam"
1108,"Lazaretto Creek"
1109,"Lead Gulch"
1110,"Leadville"
1111,"Leatham"
1112,"Lecompton"
1113,"Ledger"
1114,"Lee"
1115,"Leemon"
1116,"Lehman"
1117,"Leighton"
1118,"Leipers"
1119,"Leitchfield"
1120,"Leithsville"
1121,"Lenapah"
1122,"Lennox Hills"
1123,"Leonard"
1124,"Lewisville"
1125,"Libby"
1126,"Liberty Hall"
1127,"Licklog"
1128,"Lightning Gulch"
1129,"Lignite Creek"
1130,"Lilley"
1131,"Lime Creek"
1132,"Lime Hill"
1133,"Lincoln Creek"
1134,"Lincoln Peak"
1135,"Linden Hall"
1136,"Lingle"
1137,"Linton"
1138,"Lisbon"
1139,"Lissie"
1140,"Little Falls"
1141,"Little Flat"
1142,"Little Hat Top"
1143,"Little Osage"
1144,"Little Valley"
1145,"Littleton"
1146,"Livingston Hills"
1147,"Llajas"
1148,"Llewellyn"
1149,"Loachapoka"
1150,"Locatelli"
1151,"Lock Haven"
1152,"Lockatong"
1153,"Locust Point"
1154,"Lodgepole"
1155,"Lodo"
1156,"Logan"
1157,"Logan Hill"
1158,"Logtown Ridge"
1159,"Lone Mountain"
1160,"Lone Rock"
1161,"Lonesome"
1162,"Lonesome Pine"
1163,"Long Pine"
1164,"Lookingglass"
1165,"Loray"
1166,"Los Muertos Creek"
1167,"Lospe"
1168,"Lost Burro"
1169,"Loudoun"
1171,"Lousetown"
1172,"Love Ranch"
1173,"Loveland"
1174,"Lovelock"
1175,"Loyalhanna"
1176,"Loysburg"
1177,"Lubbe Creek"
1178,"Lucas"
1179,"Ludlow"
1180,"Ludlowville"
1181,"Luning"
1182,"Lusardi"
1183,"Luther"
1184,"Lykins"
1185,"Lynchburg"
1186,"Lynn Mountain"
1187,"Lyre"
1188,"MacColl Ridge"
1189,"Maccrady"
1190,"Maceneady"
1191,"Macworth"
1192,"Madawaska Lake"
1193,"Madison"
1194,"Madrid"
1195,"Magothy"
1196,"Mahantango"
1197,"Mahnomen"
1198,"Main Street"
1200,"Makah"
1201,"Mamacoke"
1202,"Manasquan"
1203,"Manassas Sandstone"
1204,"Manchester"
1205,"Mancos Shale"
1206,"Mandata"
1207,"Maness"
1208,"Maniobra"
1209,"Manistique"
1210,"Manitou"
1211,"Manlius"
1212,"Manning Canyon"
1213,"Manorkill"
1214,"Mansfield"
1215,"Maple Canyon"
1216,"Maquoketa"
1217,"Maravillas"
1218,"Marble Falls"
1219,"Marcellus"
1220,"Marcus"
1221,"Maria"
1223,"Mariposa"
1224,"Marjum"
1225,"Markley"
1226,"Marks Head"
1227,"Marlboro"
1228,"Marlow"
1229,"Maroon"
1230,"Marsh Creek"
1231,"Marshalltown"
1232,"Marthaville"
1233,"Martin Bridge"
1234,"Martin"
1235,"Martinez"
1236,"Martinsburg"
1237,"Martinsville"
1238,"Marys Vreek"
1239,"Mascall"
1240,"Matanuska"
1241,"Matawan"
1242,"Matlock Iron"
1243,"Mattoon"
1244,"Mauch Chunk"
1245,"Maury"
1246,"Mauzy"
1248,"Maywood"
1249,"McAlester"
1250,"McBean"
1251,"McCarthy"
1252,"McColley Canyon"
1253,"McCoy Mountains"
1254,"McCully"
1255,"McElroy"
1256,"McGowan Creek"
1257,"McIntosh"
1258,"McKelligon Canyon"
1259,"McKenzie"
1260,"McKenzie Hill"
1261,"McKnight"
1262,"McLish"
1263,"McNairy"
1264,"McNamara"
1265,"McShan"
1266,"Meadow Fork"
1267,"Mecca"
1268,"Mechum River"
1269,"Medicine Bow"
1270,"Medicine Hill"
1271,"Meeteetse"
1272,"Megunticook"
1273,"Mehrten"
1274,"Menard Limestone"
1275,"Mendha"
1276,"Menefee"
1277,"Menefee Shale"
1278,"Merced"
1279,"Merchantville"
1280,"Merle"
1281,"Mesaverde"
1283,"Meshik"
1284,"Miccosukee"
1285,"Michigamme"
1286,"Michigan"
1287,"Middendorf"
1288,"Midway"
1289,"Mifflin"
1290,"Mifflintown"
1291,"Milky River"
1292,"Miller Peak"
1293,"Millerton"
1294,"Milligan Creek"
1295,"Milligan"
1296,"Milling Port"
1297,"Miluveach"
1298,"Milwaukee"
1299,"Mina"
1300,"Mineral Bluff"
1301,"Mines"
1302,"Mingo"
1304,"Minnelusa"
1305,"Mint Canyon"
1306,"Mint Spring"
1307,"Minturn"
1308,"Mission Canyon"
1309,"Mission Valley"
1310,"Missisauga"
1311,"Moapa"
1312,"Moccasin"
1314,"Modelo"
1315,"Modesto"
1316,"Modin"
1317,"Moenave"
1318,"Moenkopi"
1319,"Mohican"
1320,"Mojado"
1321,"Molalla"
1322,"Molas"
1323,"Moleen"
1324,"Monmouth"
1325,"Monola"
1326,"Monongahela"
1327,"Monte Neva"
1328,"Monterey"
1329,"Montesano"
1330,"Montezuma"
1331,"Montgomery Creek"
1332,"Montgomery"
1333,"Montoya"
1335,"Moodys Branch"
1336,"Moonlight"
1337,"Moonshine Creek"
1338,"Moorefield"
1339,"Mooretown"
1340,"Mooreville"
1341,"Mooringsport"
1342,"Moraga"
1343,"Morales"
1344,"Moran"
1345,"Morehouse"
1346,"Moreno"
1347,"Moretown"
1348,"Morgan"
1349,"Mormon Creek"
1350,"Mormon"
1351,"Morrison"
1352,"Mosalem"
1353,"Moscow"
1354,"Mosley Hill"
1355,"Mount Eden"
1356,"Mount Laurel"
1357,"Mount Mineral"
1358,"Mount Rogers"
1359,"Mount Shields"
1360,"Mount Simon"
